Year,ZipCode,Gender,Count
2012,90650,Female,320
2012,90660,Male,215
2012,90660,Female,233
2012,90670,Male,58
2012,90670,Female,48
2012,90680,Male,82
2012,90680,Female,120
2012,90701,Male,69
2012,90701,Female,70
2012,90703,Male,172
2012,90703,Female,161
2012,90704,Male,12
2012,90704,Female,6
2012,90706,Male,211
2012,90706,Female,197
2012,90710,Male,100
2012,90710,Female,97
2012,90712,Male,121
2012,90712,Female,119
2012,90713,Male,82
2012,90713,Female,112
2012,90715,Male,61
2012,90715,Female,47
2012,90716,Male,33
2012,90716,Female,37
2012,90717,Male,81
2012,90717,Female,79
2012,90720,Male,88
2012,90720,Female,100
2012,90723,Male,122
2012,90723,Female,99
2012,90731,Male,182
2012,90731,Female,179
2012,90732,Male,96
2012,90732,Female,105
2012,90740,Male,223
2012,90740,Female,291
2012,90743,Male,3
2012,90743,Female,4
2012,90744,Male,127
2012,90744,Female,96
2012,90745,Male,172
2012,90745,Female,199
2012,90746,Male,127
2012,90746,Female,117
2012,90755,Male,32
2012,90755,Female,23
2012,90801,Male,4
2012,90801,Female,4
2012,90802,Male,134
2012,90802,Female,118
2012,90803,Male,121
2012,90803,Female,104
2012,90804,Male,107
2012,90804,Female,87
2012,90805,Male,248
2012,90805,Female,243
2012,90806,Male,134
2012,90806,Female,116
2012,90807,Male,129
2012,90807,Female,152
2012,90808,Male,151
2012,90808,Female,170
2012,90810,Male,121
2012,90810,Female,101
2012,90813,Male,147
2012,90813,Female,116
2012,90814,Male,58
2012,90814,Female,43
2012,90815,Male,156
2012,90815,Female,186
2012,91001,Male,138
2012,91001,Female,128
2012,91006,Male,100
2012,91006,Female,115
2012,91007,Male,116
2012,91007,Female,132
2012,91008,Male,3
2012,91008,Female,4
2012,91010,Male,108
2012,91010,Female,137
2012,91011,Male,61
2012,91011,Female,76
2012,91016,Male,116
2012,91016,Female,155
2012,91020,Male,39
2012,91020,Female,34
2012,91024,Male,45
2012,91024,Female,48
2012,91030,Male,65
2012,91030,Female,63
2012,91040,Male,106
2012,91040,Female,82
2012,91042,Male,87
2012,91042,Female,93
2012,91046,Male,3
2012,91046,Female,9
2012,91101,Male,51
2012,91101,Female,65
2012,91103,Male,138
2012,91103,Female,123
2012,91104,Male,119
2012,91104,Female,133
2012,91105,Male,60
2012,91105,Female,51
2012,91106,Male,63
2012,91106,Female,51
2012,91107,Male,105
2012,91107,Female,136
2012,91108,Male,49
2012,91108,Female,40
2012,91201,Male,103
2012,91201,Female,73
2012,91202,Male,67
2012,91202,Female,71
2012,91203,Male,41
2012,91203,Female,45
2012,91204,Male,88
2012,91204,Female,52
2012,91205,Male,134
2012,91205,Female,137
2012,91206,Male,127
2012,91206,Female,126
2012,91207,Male,33
2012,91207,Female,42
2012,91208,Male,48
2012,91208,Female,61
2012,91214,Male,80
2012,91214,Female,98
2012,91301,Male,66
2012,91301,Female,76
2012,91302,Male,48
2012,91302,Female,69
2012,91303,Male,62
2012,91303,Female,52
2012,91304,Male,144
2012,91304,Female,169
2012,91306,Male,116
2012,91306,Female,115
2012,91307,Male,100
2012,91307,Female,103
2012,91311,Male,160
2012,91311,Female,146
2012,91316,Male,92
