Year,Zip,AgeGroup,Total
2013,90001,35-44,13
2013,90001,45-54,29
2013,90001,55-64,39
2013,90001,65-74,36
2013,90001,75-84,40
2013,90001,85+,42
2013,90002,15-24,12
2013,90002,35-44,11
2013,90002,45-54,25
2013,90002,55-64,54
2013,90002,65-74,37
2013,90002,75-84,59
2013,90002,85+,42
2013,90003,15-24,13
2013,90003,25-34,12
2013,90003,35-44,16
2013,90003,45-54,28
2013,90003,55-64,57
2013,90003,65-74,53
2013,90003,75-84,59
2013,90003,85+,54
2013,90004,45-54,22
2013,90004,55-64,42
2013,90004,65-74,35
2013,90004,75-84,56
2013,90004,85+,75
2013,90005,45-54,15
2013,90005,55-64,25
2013,90005,65-74,26
2013,90005,75-84,38
2013,90005,85+,66
2013,90006,35-44,12
2013,90006,45-54,24
2013,90006,55-64,44
2013,90006,65-74,42
2013,90006,75-84,59
2013,90006,85+,73
2013,90007,45-54,13
2013,90007,55-64,18
2013,90007,65-74,22
2013,90007,75-84,23
2013,90007,85+,34
2013,90008,45-54,32
2013,90008,55-64,42
2013,90008,65-74,52
2013,90008,75-84,71
2013,90008,85+,95
2013,90011,Under 1,12
2013,90011,15-24,12
2013,90011,35-44,21
2013,90011,45-54,39
2013,90011,55-64,60
2013,90011,65-74,69
2013,90011,75-84,65
2013,90011,85+,71
2013,90012,55-64,23
2013,90012,65-74,31
2013,90012,75-84,44
2013,90012,85+,91
2013,90013,45-54,17
2013,90013,55-64,21
2013,90013,65-74,16
2013,90013,75-84,13
2013,90013,85+,18
2013,90014,45-54,14
2013,90014,55-64,17
2013,90014,75-84,18
2013,90014,85+,13
2013,90015,55-64,13
2013,90015,65-74,15
2013,90015,75-84,15
2013,90015,85+,16
2013,90016,45-54,33
2013,90016,55-64,57
2013,90016,65-74,67
2013,90016,75-84,71
2013,90016,85+,85
2013,90017,55-64,21
2013,90017,65-74,14
2013,90017,75-84,18
2013,90017,85+,19
2013,90018,35-44,15
2013,90018,45-54,26
2013,90018,55-64,56
2013,90018,65-74,62
2013,90018,75-84,88
2013,90018,85+,103
2013,90019,45-54,25
2013,90019,55-64,49
2013,90019,65-74,82
2013,90019,75-84,102
2013,90019,85+,114
2013,90020,45-54,12
2013,90020,55-64,22
2013,90020,65-74,22
2013,90020,75-84,17
2013,90020,85+,29
2013,90022,35-44,11
2013,90022,45-54,23
2013,90022,55-64,38
2013,90022,65-74,61
2013,90022,75-84,95
2013,90022,85+,115
2013,90023,25-34,11
2013,90023,45-54,22
2013,90023,55-64,27
2013,90023,65-74,30
2013,90023,75-84,53
2013,90023,85+,70
2013,90024,65-74,17
2013,90024,75-84,46
2013,90024,85+,170
2013,90025,45-54,12
2013,90025,55-64,23
2013,90025,65-74,33
2013,90025,75-84,58
2013,90025,85+,96
2013,90026,25-34,11
2013,90026,35-44,14
2013,90026,45-54,38
2013,90026,55-64,45
2013,90026,65-74,45
2013,90026,75-84,66
2013,90026,85+,104
2013,90027,35-44,12
2013,90027,45-54,18
2013,90027,55-64,47
2013,90027,65-74,50
2013,90027,75-84,81
2013,90027,85+,115
2013,90028,35-44,11
2013,90028,45-54,14
2013,90028,55-64,27
2013,90028,65-74,32
2013,90028,75-84,33
2013,90028,85+,50
2013,90029,45-54,18
2013,90029,55-64,26
2013,90029,65-74,43
2013,90029,75-84,72
2013,90029,85+,77
2013,90031,45-54,14
2013,90031,55-64,34
2013,90031,65-74,31
2013,90031,75-84,59
2013,90031,85+,91
2013,90032,35-44,12
2013,90032,45-54,31
2013,90032,55-64,39
2013,90032,65-74,45
2013,90032,75-84,57
2013,90032,85+,92
2013,90033,35-44,15
2013,90033,45-54,26
2013,90033,55-64,40
2013,90033,65-74,40
2013,90033,75-84,59
2013,90033,85+,94
2013,90034,45-54,24
2013,90034,55-64,34
2013,90034,65-74,38
2013,90034,75-84,52
2013,90034,85+,68
2013,90035,55-64,19
2013,90035,65-74,33
2013,90035,75-84,46
2013,90035,85+,103
2013,90036,55-64,18
2013,90036,65-74,24
2013,90036,75-84,36
2013,90036,85+,96
2013,90037,35-44,16
2013,90037,45-54,42
2013,90037,55-64,53
2013,90037,65-74,49
2013,90037,75-84,50
2013,90037,85+,61
2013,90038,45-54,11
2013,90038,55-64,21
2013,90038,65-74,16
2013,90038,75-84,31
2013,90038,85+,29
2013,90039,45-54,13
2013,90039,55-64,26
2013,90039,65-74,37
2013,90039,75-84,51
2013,90039,85+,63
2013,90040,55-64,15
2013,90040,65-74,16
2013,90040,75-84,12
2013,90040,85+,32
2013,90041,45-54,14
2013,90041,55-64,19
2013,90041,65-74,28
2013,90041,75-84,46
2013,90041,85+,82
2013,90042,35-44,17
2013,90042,45-54,20
2013,90042,55-64,39
2013,90042,65-74,52
2013,90042,75-84,43
2013,90042,85+,76
2013,90043,35-44,19
2013,90043,45-54,39
2013,90043,55-64,73
2013,90043,65-74,73
2013,90043,75-84,93
2013,90043,85+,108
2013,90044,15-24,15
2013,90044,25-34,19
2013,90044,35-44,28
2013,90044,45-54,64
2013,90044,55-64,113
2013,90044,65-74,105
2013,90044,75-84,114
2013,90044,85+,83
2013,90045,45-54,12
2013,90045,55-64,17
2013,90045,65-74,30
2013,90045,75-84,47
2013,90045,85+,103
2013,90046,45-54,16
2013,90046,55-64,24
2013,90046,65-74,44
2013,90046,75-84,86
2013,90046,85+,166
2013,90047,35-44,21
2013,90047,45-54,24
2013,90047,55-64,60
2013,90047,65-74,89
2013,90047,75-84,112
2013,90047,85+,99
2013,90048,55-64,17
2013,90048,65-74,26
2013,90048,75-84,39
2013,90048,85+,98
2013,90049,55-64,19
2013,90049,65-74,21
2013,90049,75-84,66
2013,90049,85+,147
2013,90056,75-84,26
2013,90056,85+,36
2013,90057,35-44,14
2013,90057,45-54,21
2013,90057,55-64,28
2013,90057,65-74,37
2013,90057,75-84,54
2013,90057,85+,54
2013,90059,35-44,12
2013,90059,45-54,15
2013,90059,55-64,34
2013,90059,65-74,37
2013,90059,75-84,42
2013,90059,85+,38
2013,90061,35-44,11
2013,90061,45-54,20
2013,90061,55-64,37
2013,90061,65-74,47
2013,90061,75-84,44
2013,90061,85+,35
2013,90062,35-44,12
2013,90062,45-54,16
2013,90062,55-64,35
2013,90062,65-74,36
2013,90062,75-84,45
2013,90062,85+,45
2013,90063,45-54,30
2013,90063,55-64,40
2013,90063,65-74,44
2013,90063,75-84,73
2013,90063,85+,92
2013,90064,55-64,15
2013,90064,65-74,24
2013,90064,75-84,40
2013,90064,85+,95
2013,90065,45-54,23
2013,90065,55-64,20
2013,90065,65-74,46
2013,90065,75-84,49
2013,90065,85+,77
2013,90066,45-54,21
2013,90066,55-64,31
2013,90066,65-74,56
2013,90066,75-84,60
2013,90066,85+,139
2013,90067,75-84,12
2013,90067,85+,31
2013,90068,65-74,21
2013,90068,75-84,31
2013,90068,85+,52
2013,90069,45-54,15
2013,90069,55-64,18
2013,90069,65-74,22
2013,90069,75-84,37
2013,90069,85+,58
2013,90077,75-84,19
2013,90077,85+,41
2013,90094,85+,13
2013,90201,25-34,14
2013,90201,35-44,11
2013,90201,45-54,33
2013,90201,55-64,58
2013,90201,65-74,64
2013,90201,75-84,59
2013,90201,85+,69
2013,90210,65-74,27
2013,90210,75-84,27
2013,90210,85+,97
2013,90211,75-84,14
2013,90211,85+,33
2013,90212,75-84,20
2013,90212,85+,44
2013,90220,15-24,12
2013,90220,45-54,36
2013,90220,55-64,45
2013,90220,65-74,57
2013,90220,75-84,70
2013,90220,85+,78
2013,90221,35-44,12
2013,90221,45-54,27
2013,90221,55-64,46
2013,90221,65-74,52
2013,90221,75-84,52
2013,90221,85+,28
2013,90222,35-44,13
2013,90222,45-54,18
2013,90222,55-64,33
2013,90222,65-74,26
2013,90222,75-84,45
2013,90222,85+,45
2013,90230,45-54,16
2013,90230,55-64,25
2013,90230,65-74,32
2013,90230,75-84,45
2013,90230,85+,94
2013,90232,55-64,12
2013,90232,65-74,13
2013,90232,75-84,19
2013,90232,85+,54
2013,90240,45-54,11
2013,90240,55-64,19
2013,90240,65-74,22
2013,90240,75-84,25
2013,90240,85+,71
2013,90241,45-54,14
2013,90241,55-64,26
2013,90241,65-74,49
2013,90241,75-84,68
2013,90241,85+,106
2013,90242,45-54,15
2013,90242,55-64,46
2013,90242,65-74,30
2013,90242,75-84,65
2013,90242,85+,71
2013,90245,55-64,11
2013,90245,65-74,13
2013,90245,75-84,21
2013,90245,85+,33
2013,90247,45-54,24
2013,90247,55-64,44
2013,90247,65-74,47
2013,90247,75-84,75
2013,90247,85+,94
2013,90248,65-74,15
2013,90248,75-84,22
2013,90248,85+,37
2013,90249,45-54,11
2013,90249,55-64,27
2013,90249,65-74,38
2013,90249,75-84,35
2013,90249,85+,65
2013,90250,Under 1,11
2013,90250,15-24,13
2013,90250,25-34,14
2013,90250,35-44,19
2013,90250,45-54,39
2013,90250,55-64,80
2013,90250,65-74,105
2013,90250,75-84,93
2013,90250,85+,120
2013,90254,55-64,13
2013,90254,65-74,13
2013,90254,75-84,24
2013,90254,85+,38
2013,90255,35-44,15
2013,90255,45-54,27
2013,90255,55-64,49
2013,90255,65-74,55
2013,90255,75-84,59
2013,90255,85+,70
2013,90260,45-54,11
2013,90260,55-64,23
2013,90260,65-74,29
2013,90260,75-84,41
2013,90260,85+,31
2013,90262,25-34,11
2013,90262,35-44,12
2013,90262,45-54,27
2013,90262,55-64,47
2013,90262,65-74,49
2013,90262,75-84,48
2013,90262,85+,46
2013,90265,65-74,20
2013,90265,75-84,28
2013,90265,85+,47
2013,90266,65-74,25
2013,90266,75-84,50
2013,90266,85+,88
2013,90270,55-64,18
2013,90270,65-74,19
2013,90270,75-84,14
2013,90270,85+,19
2013,90272,55-64,13
2013,90272,65-74,20
2013,90272,75-84,32
2013,90272,85+,68
2013,90274,55-64,13
2013,90274,65-74,28
2013,90274,75-84,54
2013,90274,85+,132
2013,90275,55-64,22
2013,90275,65-74,39
2013,90275,75-84,92
2013,90275,85+,189
2013,90277,45-54,17
2013,90277,55-64,24
2013,90277,65-74,35
2013,90277,75-84,60
2013,90277,85+,102
2013,90278,55-64,21
2013,90278,65-74,28
2013,90278,75-84,49
2013,90278,85+,56
2013,90280,25-34,11
2013,90280,35-44,21
2013,90280,45-54,26
2013,90280,55-64,50
2013,90280,65-74,78
2013,90280,75-84,63
2013,90280,85+,105
2013,90291,55-64,21
2013,90291,65-74,21
2013,90291,75-84,20
2013,90291,85+,40
2013,90292,45-54,11
2013,90292,55-64,11
2013,90292,65-74,14
2013,90292,75-84,40
2013,90292,85+,40
2013,90293,75-84,14
2013,90293,85+,20
2013,90301,35-44,11
2013,90301,45-54,16
2013,90301,55-64,35
2013,90301,65-74,40
2013,90301,75-84,37
2013,90301,85+,53
2013,90302,55-64,29
2013,90302,65-74,47
2013,90302,75-84,29
2013,90302,85+,24
2013,90303,45-54,18
2013,90303,55-64,18
2013,90303,65-74,17
2013,90303,75-84,39
2013,90303,85+,25
2013,90304,45-54,11
2013,90304,55-64,20
2013,90304,65-74,19
2013,90304,85+,21
2013,90305,55-64,24
2013,90305,65-74,32
2013,90305,75-84,43
2013,90305,85+,40
2013,90401,75-84,11
2013,90401,85+,13
2013,90402,75-84,11
2013,90402,85+,54
2013,90403,55-64,16
2013,90403,65-74,14
2013,90403,75-84,39
2013,90403,85+,97
2013,90404,45-54,11
2013,90404,55-64,22
2013,90404,65-74,26
2013,90404,75-84,41
2013,90404,85+,97
2013,90405,45-54,14
2013,90405,55-64,14
2013,90405,65-74,28
2013,90405,75-84,34
2013,90405,85+,86
2013,90501,35-44,11
2013,90501,45-54,15
2013,90501,55-64,31
2013,90501,65-74,42
2013,90501,75-84,70
2013,90501,85+,73
2013,90502,45-54,13
2013,90502,55-64,15
2013,90502,65-74,22
2013,90502,75-84,45
2013,90502,85+,54
2013,90503,45-54,19
2013,90503,55-64,28
2013,90503,65-74,48
2013,90503,75-84,99
2013,90503,85+,140
2013,90504,55-64,21
2013,90504,65-74,31
2013,90504,75-84,66
2013,90504,85+,97
2013,90505,45-54,17
2013,90505,55-64,27
2013,90505,65-74,38
2013,90505,75-84,81
2013,90505,85+,122
2013,90601,45-54,12
2013,90601,55-64,26
2013,90601,65-74,29
2013,90601,75-84,56
2013,90601,85+,75
2013,90602,45-54,11
2013,90602,55-64,17
2013,90602,65-74,27
2013,90602,75-84,25
2013,90602,85+,51
2013,90603,45-54,11
2013,90603,55-64,19
2013,90603,65-74,22
2013,90603,75-84,44
2013,90603,85+,80
2013,90604,45-54,13
2013,90604,55-64,30
2013,90604,65-74,36
2013,90604,75-84,66
2013,90604,85+,96
2013,90605,45-54,17
2013,90605,55-64,34
2013,90605,65-74,33
2013,90605,75-84,49
2013,90605,85+,66
2013,90606,55-64,19
2013,90606,65-74,29
2013,90606,75-84,55
2013,90606,85+,65
2013,90620,35-44,13
2013,90620,45-54,25
2013,90620,55-64,52
2013,90620,65-74,74
2013,90620,75-84,105
2013,90620,85+,99
2013,90621,45-54,20
2013,90621,55-64,30
2013,90621,65-74,23
2013,90621,75-84,40
2013,90621,85+,42
2013,90623,65-74,22
2013,90623,75-84,23
2013,90623,85+,38
2013,90630,45-54,32
2013,90630,55-64,37
2013,90630,65-74,63
2013,90630,75-84,95
2013,90630,85+,92
2013,90631,45-54,25
2013,90631,55-64,44
2013,90631,65-74,69
2013,90631,75-84,95
2013,90631,85+,165
2013,90638,45-54,14
2013,90638,55-64,31
2013,90638,65-74,40
2013,90638,75-84,110
2013,90638,85+,155
2013,90640,45-54,30
2013,90640,55-64,51
2013,90640,65-74,55
2013,90640,75-84,101
2013,90640,85+,156
2013,90650,25-34,12
2013,90650,35-44,14
2013,90650,45-54,46
2013,90650,55-64,77
2013,90650,65-74,109
2013,90650,75-84,152
2013,90650,85+,200
2013,90660,35-44,11
2013,90660,45-54,29
2013,90660,55-64,49
2013,90660,65-74,61
2013,90660,75-84,95
2013,90660,85+,140
2013,90670,55-64,15
2013,90670,65-74,19
2013,90670,75-84,35
2013,90670,85+,29
2013,90680,35-44,14
2013,90680,45-54,12
2013,90680,55-64,30
2013,90680,65-74,32
2013,90680,75-84,49
2013,90680,85+,89
2013,90701,55-64,23
2013,90701,65-74,16
2013,90701,75-84,24
2013,90701,85+,46
2013,90703,45-54,16
2013,90703,55-64,30
2013,90703,65-74,54
2013,90703,75-84,101
2013,90703,85+,115
2013,90706,35-44,17
2013,90706,45-54,33
2013,90706,55-64,83
2013,90706,65-74,87
2013,90706,75-84,116
2013,90706,85+,104
2013,90710,45-54,16
2013,90710,55-64,22
2013,90710,65-74,31
2013,90710,75-84,46
2013,90710,85+,52
2013,90712,45-54,21
2013,90712,55-64,31
2013,90712,65-74,34
2013,90712,75-84,56
2013,90712,85+,125
2013,90713,45-54,16
2013,90713,55-64,24
2013,90713,65-74,28
2013,90713,75-84,47
2013,90713,85+,70
2013,90715,55-64,15
2013,90715,65-74,20
2013,90715,75-84,35
2013,90715,85+,24
2013,90716,65-74,14
2013,90716,75-84,14
2013,90716,85+,15
2013,90717,45-54,13
2013,90717,55-64,27
2013,90717,65-74,31
2013,90717,75-84,41
2013,90717,85+,41
2013,90720,55-64,16
2013,90720,65-74,11
2013,90720,75-84,54
2013,90720,85+,97
2013,90723,25-34,11
2013,90723,45-54,18
2013,90723,55-64,25
2013,90723,65-74,36
2013,90723,75-84,41
2013,90723,85+,51
2013,90731,35-44,11
2013,90731,45-54,31
2013,90731,55-64,77
2013,90731,65-74,68
2013,90731,75-84,71
2013,90731,85+,110
2013,90732,55-64,22
2013,90732,65-74,28
2013,90732,75-84,44
2013,90732,85+,98
2013,90740,55-64,32
2013,90740,65-74,55
2013,90740,75-84,123
2013,90740,85+,270
2013,90744,35-44,17
2013,90744,45-54,23
2013,90744,55-64,40
2013,90744,65-74,49
2013,90744,75-84,56
2013,90744,85+,52
2013,90745,45-54,38
2013,90745,55-64,47
2013,90745,65-74,83
2013,90745,75-84,121
2013,90745,85+,116
2013,90746,45-54,17
2013,90746,55-64,30
2013,90746,65-74,46
2013,90746,75-84,49
2013,90746,85+,53
2013,90755,55-64,14
2013,90755,65-74,12
2013,90755,75-84,12
2013,90755,85+,17
2013,90802,35-44,23
2013,90802,45-54,34
2013,90802,55-64,54
2013,90802,65-74,56
2013,90802,75-84,59
2013,90802,85+,65
2013,90803,45-54,15
2013,90803,55-64,23
2013,90803,65-74,42
2013,90803,75-84,55
2013,90803,85+,95
2013,90804,45-54,27
2013,90804,55-64,46
2013,90804,65-74,46
2013,90804,75-84,29
2013,90804,85+,49
2013,90805,15-24,16
2013,90805,35-44,25
2013,90805,45-54,47
2013,90805,55-64,87
2013,90805,65-74,92
2013,90805,75-84,91
2013,90805,85+,96
2013,90806,45-54,21
2013,90806,55-64,46
2013,90806,65-74,56
2013,90806,75-84,52
2013,90806,85+,60
2013,90807,45-54,15
2013,90807,55-64,27
2013,90807,65-74,53
2013,90807,75-84,61
2013,90807,85+,112
2013,90808,45-54,17
2013,90808,55-64,28
2013,90808,65-74,43
2013,90808,75-84,76
2013,90808,85+,144
2013,90810,45-54,15
2013,90810,55-64,39
2013,90810,65-74,38
2013,90810,75-84,43
2013,90810,85+,60
2013,90813,25-34,11
2013,90813,35-44,16
2013,90813,45-54,39
2013,90813,55-64,59
2013,90813,65-74,60
2013,90813,75-84,50
2013,90813,85+,34
2013,90814,55-64,16
2013,90814,65-74,20
2013,90814,75-84,22
2013,90814,85+,48
2013,90815,45-54,12
2013,90815,55-64,35
2013,90815,65-74,46
2013,90815,75-84,73
2013,90815,85+,137
2013,91001,45-54,16
2013,91001,55-64,35
2013,91001,65-74,40
2013,91001,75-84,52
2013,91001,85+,95
2013,91006,45-54,13
2013,91006,55-64,19
2013,91006,65-74,30
2013,91006,75-84,56
2013,91006,85+,88
2013,91007,45-54,13
2013,91007,55-64,17
2013,91007,65-74,24
2013,91007,75-84,56
2013,91007,85+,136
2013,91010,45-54,17
2013,91010,55-64,38
2013,91010,65-74,38
2013,91010,75-84,47
2013,91010,85+,116
2013,91011,55-64,11
2013,91011,65-74,18
2013,91011,75-84,44
2013,91011,85+,60
2013,91016,35-44,11
2013,91016,45-54,21
2013,91016,55-64,29
2013,91016,65-74,42
2013,91016,75-84,52
2013,91016,85+,85
2013,91020,75-84,15
2013,91020,85+,26
2013,91024,65-74,15
2013,91024,75-84,25
2013,91024,85+,38
2013,91030,65-74,20
2013,91030,75-84,30
2013,91030,85+,62
2013,91040,45-54,12
2013,91040,55-64,29
2013,91040,65-74,35
2013,91040,75-84,49
2013,91040,85+,68
2013,91042,45-54,15
2013,91042,55-64,28
2013,91042,65-74,29
2013,91042,75-84,47
2013,91042,85+,69
2013,91101,65-74,13
2013,91101,75-84,29
2013,91101,85+,63
2013,91103,45-54,24
2013,91103,55-64,35
2013,91103,65-74,55
2013,91103,75-84,58
2013,91103,85+,72
2013,91104,45-54,13
2013,91104,55-64,26
2013,91104,65-74,40
2013,91104,75-84,52
2013,91104,85+,93
2013,91105,65-74,14
2013,91105,75-84,27
2013,91105,85+,71
2013,91106,65-74,24
2013,91106,75-84,21
2013,91106,85+,60
2013,91107,45-54,14
2013,91107,55-64,25
2013,91107,65-74,26
2013,91107,75-84,66
2013,91107,85+,111
2013,91108,65-74,19
2013,91108,75-84,31
2013,91108,85+,45
2013,91201,55-64,15
2013,91201,65-74,25
2013,91201,75-84,47
2013,91201,85+,44
2013,91202,55-64,13
2013,91202,65-74,29
2013,91202,75-84,39
2013,91202,85+,73
2013,91203,55-64,15
2013,91203,65-74,14
2013,91203,75-84,27
2013,91203,85+,28
2013,91204,55-64,14
2013,91204,65-74,22
2013,91204,75-84,24
2013,91204,85+,55
2013,91205,45-54,23
2013,91205,55-64,31
2013,91205,65-74,32
2013,91205,75-84,75
2013,91205,85+,86
2013,91206,45-54,18
2013,91206,55-64,18
2013,91206,65-74,33
2013,91206,75-84,65
2013,91206,85+,116
2013,91207,75-84,22
2013,91207,85+,53
2013,91208,65-74,17
2013,91208,75-84,31
2013,91208,85+,50
2013,91214,45-54,13
2013,91214,55-64,33
2013,91214,65-74,22
2013,91214,75-84,54
2013,91214,85+,74
2013,91301,55-64,12
2013,91301,65-74,17
2013,91301,75-84,34
2013,91301,85+,58
2013,91302,55-64,13
2013,91302,65-74,25
2013,91302,75-84,33
2013,91302,85+,62
2013,91303,45-54,14
2013,91303,65-74,21
2013,91303,75-84,31
2013,91303,85+,39
2013,91304,35-44,11
2013,91304,45-54,19
2013,91304,55-64,33
2013,91304,65-74,38
2013,91304,75-84,62
2013,91304,85+,124
2013,91306,45-54,14
2013,91306,55-64,31
2013,91306,65-74,31
2013,91306,75-84,59
2013,91306,85+,91
2013,91307,45-54,14
2013,91307,55-64,20
2013,91307,65-74,27
2013,91307,75-84,53
2013,91307,85+,74
2013,91311,45-54,23
2013,91311,55-64,25
2013,91311,65-74,53
2013,91311,75-84,91
2013,91311,85+,123
2013,91316,55-64,15
2013,91316,65-74,41
2013,91316,75-84,45
2013,91316,85+,77
2013,91320,45-54,12
2013,91320,55-64,26
2013,91320,65-74,42
2013,91320,75-84,52
2013,91320,85+,97
2013,91321,45-54,15
2013,91321,55-64,18
2013,91321,65-74,21
2013,91321,75-84,56
2013,91321,85+,99
2013,91324,55-64,22
2013,91324,65-74,24
2013,91324,75-84,43
2013,91324,85+,98
2013,91325,55-64,25
2013,91325,65-74,24
2013,91325,75-84,43
2013,91325,85+,101
2013,91326,55-64,28
2013,91326,65-74,29
2013,91326,75-84,60
2013,91326,85+,60
2013,91331,25-34,18
2013,91331,35-44,26
2013,91331,45-54,47
2013,91331,55-64,55
2013,91331,65-74,64
2013,91331,75-84,75
2013,91331,85+,120
2013,91335,35-44,13
2013,91335,45-54,27
2013,91335,55-64,59
2013,91335,65-74,66
2013,91335,75-84,112
2013,91335,85+,258
2013,91340,55-64,14
2013,91340,65-74,28
2013,91340,75-84,38
2013,91340,85+,41
2013,91342,35-44,18
2013,91342,45-54,41
2013,91342,55-64,68
2013,91342,65-74,93
2013,91342,75-84,114
2013,91342,85+,106
2013,91343,35-44,12
2013,91343,45-54,17
2013,91343,55-64,37
2013,91343,65-74,59
2013,91343,75-84,88
2013,91343,85+,115
2013,91344,45-54,24
2013,91344,55-64,51
2013,91344,65-74,48
2013,91344,75-84,118
2013,91344,85+,163
2013,91345,55-64,11
2013,91345,65-74,22
2013,91345,75-84,35
2013,91345,85+,70
2013,91350,45-54,11
2013,91350,55-64,23
2013,91350,65-74,28
2013,91350,75-84,38
2013,91350,85+,54
2013,91351,45-54,25
2013,91351,55-64,21
2013,91351,65-74,27
2013,91351,75-84,39
2013,91351,85+,40
2013,91352,45-54,19
2013,91352,55-64,51
2013,91352,65-74,31
2013,91352,75-84,55
2013,91352,85+,69
2013,91354,55-64,12
2013,91354,65-74,18
2013,91354,75-84,20
2013,91354,85+,34
2013,91355,55-64,19
2013,91355,65-74,43
2013,91355,75-84,42
2013,91355,85+,69
2013,91356,45-54,13
2013,91356,55-64,15
2013,91356,65-74,23
2013,91356,75-84,70
2013,91356,85+,106
2013,91360,45-54,11
2013,91360,55-64,25
2013,91360,65-74,42
2013,91360,75-84,95
2013,91360,85+,201
2013,91361,55-64,15
2013,91361,65-74,22
2013,91361,75-84,40
2013,91361,85+,79
2013,91362,55-64,22
2013,91362,65-74,33
2013,91362,75-84,54
2013,91362,85+,98
2013,91364,55-64,17
2013,91364,65-74,30
2013,91364,75-84,60
2013,91364,85+,110
2013,91367,45-54,19
2013,91367,55-64,26
2013,91367,65-74,40
2013,91367,75-84,89
2013,91367,85+,135
2013,91377,55-64,14
2013,91377,65-74,14
2013,91377,75-84,11
2013,91377,85+,18
2013,91381,75-84,11
2013,91381,85+,14
2013,91384,45-54,13
2013,91384,55-64,15
2013,91384,65-74,16
2013,91384,75-84,21
2013,91384,85+,21
2013,91387,45-54,19
2013,91387,55-64,23
2013,91387,65-74,27
2013,91387,75-84,41
2013,91387,85+,30
2013,91390,45-54,11
2013,91390,55-64,21
2013,91390,65-74,20
2013,91390,75-84,18
2013,91390,85+,27
2013,91401,45-54,23
2013,91401,55-64,30
2013,91401,65-74,42
2013,91401,75-84,60
2013,91401,85+,69
2013,91402,35-44,18
2013,91402,45-54,28
2013,91402,55-64,35
2013,91402,65-74,59
2013,91402,75-84,65
2013,91402,85+,80
2013,91403,55-64,14
2013,91403,65-74,22
2013,91403,75-84,32
2013,91403,85+,77
2013,91405,45-54,38
2013,91405,55-64,32
2013,91405,65-74,51
2013,91405,75-84,64
2013,91405,85+,92
2013,91406,45-54,23
2013,91406,55-64,48
2013,91406,65-74,43
2013,91406,75-84,58
2013,91406,85+,78
2013,91411,55-64,22
2013,91411,65-74,36
2013,91411,75-84,34
2013,91411,85+,67
2013,91423,55-64,20
2013,91423,65-74,39
2013,91423,75-84,41
2013,91423,85+,86
2013,91436,65-74,12
2013,91436,75-84,34
2013,91436,85+,62
2013,91501,65-74,19
2013,91501,75-84,28
2013,91501,85+,63
2013,91502,75-84,18
2013,91502,85+,39
2013,91504,45-54,12
2013,91504,55-64,13
2013,91504,65-74,26
2013,91504,75-84,38
2013,91504,85+,88
2013,91505,55-64,20
2013,91505,65-74,36
2013,91505,75-84,56
2013,91505,85+,86
2013,91506,45-54,12
2013,91506,55-64,21
2013,91506,65-74,24
2013,91506,75-84,37
2013,91506,85+,51
2013,91601,45-54,12
2013,91601,55-64,24
2013,91601,65-74,36
2013,91601,75-84,34
2013,91601,85+,47
2013,91602,75-84,16
2013,91602,85+,42
2013,91604,65-74,25
2013,91604,75-84,38
2013,91604,85+,104
2013,91605,45-54,25
2013,91605,55-64,49
2013,91605,65-74,55
2013,91605,75-84,63
2013,91605,85+,96
2013,91606,45-54,27
2013,91606,55-64,35
2013,91606,65-74,43
2013,91606,75-84,56
2013,91606,85+,79
2013,91607,45-54,12
2013,91607,55-64,27
2013,91607,65-74,46
2013,91607,75-84,57
2013,91607,85+,81
2013,91701,45-54,14
2013,91701,55-64,28
2013,91701,65-74,44
2013,91701,75-84,65
2013,91701,85+,77
2013,91702,45-54,18
2013,91702,55-64,51
2013,91702,65-74,52
2013,91702,75-84,76
2013,91702,85+,85
2013,91706,35-44,15
2013,91706,45-54,29
2013,91706,55-64,52
2013,91706,65-74,62
2013,91706,75-84,93
2013,91706,85+,90
2013,91709,35-44,11
2013,91709,45-54,21
2013,91709,55-64,42
2013,91709,65-74,55
2013,91709,75-84,69
2013,91709,85+,97
2013,91710,35-44,12
2013,91710,45-54,36
2013,91710,55-64,58
2013,91710,65-74,65
2013,91710,75-84,103
2013,91710,85+,109
2013,91711,45-54,15
2013,91711,55-64,23
2013,91711,65-74,35
2013,91711,75-84,85
2013,91711,85+,147
2013,91722,45-54,16
2013,91722,55-64,38
2013,91722,65-74,46
2013,91722,75-84,54
2013,91722,85+,59
2013,91723,55-64,20
2013,91723,65-74,22
2013,91723,75-84,30
2013,91723,85+,47
2013,91724,55-64,27
2013,91724,65-74,33
2013,91724,75-84,45
2013,91724,85+,66
2013,91730,35-44,16
2013,91730,45-54,20
2013,91730,55-64,50
2013,91730,65-74,59
2013,91730,75-84,85
2013,91730,85+,94
2013,91731,45-54,17
2013,91731,55-64,24
2013,91731,65-74,19
2013,91731,75-84,42
2013,91731,85+,42
2013,91732,45-54,21
2013,91732,55-64,45
2013,91732,65-74,63
2013,91732,75-84,67
2013,91732,85+,80
2013,91733,45-54,24
2013,91733,55-64,27
2013,91733,65-74,31
2013,91733,75-84,40
2013,91733,85+,51
2013,91737,55-64,17
2013,91737,65-74,26
2013,91737,75-84,38
2013,91737,85+,34
2013,91739,55-64,19
2013,91739,65-74,24
2013,91739,75-84,27
2013,91739,85+,22
2013,91740,45-54,12
2013,91740,55-64,38
2013,91740,65-74,39
